,,basket ball,jog,kettle ball,skipping,stairs
Accel X (g)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel X (g)_leg,mean,0.7045708232998289,0.5012086696579772,0.7758234749979852,0.5638950576234852,0.5267589797966773
Accel X (g)_leg,std,0.6732263049224448,1.3216347974919436,0.5828980679527508,1.6049774926567426,1.1996493076050294
Accel X (g)_leg,min,-1.3361409933623256,-4.0,-1.4807965209430076,-4.0,-4.0
Accel X (g)_leg,25%,0.9220721751735717,-0.41120012207217504,0.9231708247501338,-0.3297779812314032,-0.3353322652018007
Accel X (g)_leg,50%,0.9752956435492486,0.7456778820477608,0.9756618600747692,0.8220950637064162,0.8169069962615394
Accel X (g)_leg,75%,0.9904325932707714,1.2870069428549629,0.9954375524528878,1.2581368734264131,1.2237430380712597
Accel X (g)_leg,max,4.0,4.0,2.6387731746395056,4.0,4.0
Accel Y (g)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Y (g)_leg,mean,-0.0449172524137312,0.007455672128225114,-0.09198607627695089,-0.08378782312256383,0.01247784212410653
Accel Y (g)_leg,std,0.169136826358483,0.8997300981128489,0.17685870726681127,1.0180721379549897,0.6659686677428439
Accel Y (g)_leg,min,-4.0,-4.0,-1.5837033646143284,-4.0,-4.0
Accel Y (g)_leg,25%,-0.12176699473563744,-0.3748836499580377,-0.17206073090714868,-0.3804989700160219,-0.2437476157778287
Accel Y (g)_leg,50%,-0.057190814068817986,0.022156099794003133,-0.07721065079728406,-0.039002059967955915,0.011169604028381741
Accel Y (g)_leg,75%,0.05645838101777656,0.38544289311055197,-0.000915541313801782,0.2838178072785533,0.2700846875715266
Accel Y (g)_leg,max,3.012314030670634,3.996826123445487,1.1007858396276795,3.9793698023956665,3.9896238651102482
Accel Z (g)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Z (g)_leg,mean,0.18366330224646948,0.5095179111785398,0.11452682751346834,0.19764765813377516,0.37810507403131977
Accel Z (g)_leg,std,0.13635490049960045,1.2214990763351767,0.14057188622346278,1.2591757444078275,0.6498980351649705
Accel Z (g)_leg,min,-2.8856031128404664,-4.0,-1.0736858167391472,-4.0,-4.0
Accel Z (g)_leg,25%,0.11883726253147132,-0.1824368657969022,0.045471885252155175,-0.31958495460441005,0.03860532539864181
Accel Z (g)_leg,50%,0.17413595788509986,0.5535362783245592,0.12237735561150488,0.18744182497901907,0.3788509956511792
Accel Z (g)_leg,75%,0.2407873655298696,1.2829175249866482,0.1819485770962084,0.7348134584573129,0.7541008621347371
Accel Z (g)_leg,max,2.333592736705577,4.0,1.2068665598535135,4.0,4.0
Gyro X (°/s)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro X (°/s)_leg,mean,0.6269101389668144,-7.03730185548604,0.651997447950299,1.6682214242209588,0.01975479325231794
Gyro X (°/s)_leg,std,17.483959181759868,125.93003930573174,14.627189594424028,135.32817960612311,108.3362828292183
Gyro X (°/s)_leg,min,-422.09506370641657,-835.5535210193025,-163.5461966887924,-872.1141374837872,-676.4934767681391
Gyro X (°/s)_leg,25%,-3.5095750362402214,-78.6755168993667,-5.889982452124741,-60.02899214160379,-52.09430075532168
Gyro X (°/s)_leg,50%,0.4577706569009479,-1.6784924086366573,0.6408789196611906,0.2746623941404778,-2.349889372091184
Gyro X (°/s)_leg,75%,4.364080262455219,59.05241474021478,6.927595941100208,56.36682688639621,47.10460059510173
Gyro X (°/s)_leg,max,397.6195925841152,892.8053711757076,191.19554436560657,1023.3005264362556,972.7626459143972
Gyro Y (°/s)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro Y (°/s)_leg,mean,-0.7305360828362536,-2.763322676646273,-0.9009035727640975,-1.1488214710624332,-3.032039548082261
